id,title,link,created_at,updated_at
68,7 Protokol Pencegahan COVID-19 di Perkantoran,https://www.instagram.com/p/CD36x8gnC3U/,2020-08-16 17:47:01,2020-08-16 17:47:01
69,Klaster Baru COVID-19 Warnai Pemulihan Ekonomi,https://www.instagram.com/p/CD6AR9rHqN6/,2020-08-16 17:47:53,2020-08-16 17:47:53
70,10 Rekomendasi Tangkal COVID-19,https://www.instagram.com/p/CD9AhaTnkGj/,2020-08-16 17:54:58,2020-08-16 17:54:58
71,Tips Mengembalikan Semangat Untuk Hari Senin,https://www.instagram.com/p/CD9AobOnkVO/,2020-08-16 17:54:58,2020-08-16 17:54:58
72,9 Pesan Presiden Mengenai New Normal,https://www.instagram.com/p/CD_RH-eHpGl/,2020-08-24 06:27:26,2020-08-24 06:27:26
73,Kenapa Thermometer Gun diarahkan ke Dahi?,https://www.instagram.com/p/CEFnztuHxuE/,2020-08-24 06:28:22,2020-08-24 06:28:22
74,Jangan Percaya Hoax yang Mengatakan Bahwa COVID-19 akal-akalan Nakes,https://www.instagram.com/p/CEFq6uEHuUs/,2020-08-24 06:29:59,2020-08-24 06:29:59
75,Tetap Olahraga Saat Masa New Normal,https://www.instagram.com/p/CEHGDSbHkNj/,2020-08-24 06:31:24,2020-08-24 06:31:24
76,3 Cara Penyebaran Virus Corona,https://www.instagram.com/p/CEInVxVnhns/,2020-08-24 06:38:28,2020-08-24 06:38:28
77,Coronavirus itu Masih Ada. Tetap Waspada.,https://www.instagram.com/p/CEMaa3anWAP/,2020-08-24 06:42:42,2020-08-24 06:42:42
78,Tips Traveling di Era New Normal,https://www.instagram.com/p/CEMagHvnd4m/,2020-08-24 06:46:50,2020-08-24 06:46:50
79,Tips Beriklan di Instagram untuk Bisnis Baru,https://www.instagram.com/p/CEO3qSDn1Wp/,2020-08-28 10:19:56,2020-08-28 10:19:56
80,Apakah Face Shield tanpa Masker Sudah Cukup untuk Melindungi Diri?,https://www.instagram.com/p/CERE2uZH4yY/,2020-08-28 10:21:01,2020-08-28 10:21:01
81,7 Hal Penting Untuk Disiplin #PakaiMasker,https://www.instagram.com/p/CEXBiugHvUs/,2020-08-28 10:22:04,2020-08-28 10:22:04
82,Guru Berbagi,https://www.instagram.com/p/CEZFJX7H66x/,2020-08-28 10:28:37,2020-08-28 10:28:37
83,Mari Bergotong Royong Lawan COVID-19,https://www.instagram.com/p/CEZFOJnnzqk/,2020-08-28 10:29:24,2020-08-28 10:29:24
84,Optimis Tangkap Peluang Usaha di Tengah Pandemi,https://www.instagram.com/p/CEbkDHZn0n8/,2020-09-17 19:28:07,2020-09-17 19:28:07
85,6 Tips Untuk Menilai Informasi,https://www.instagram.com/p/CEtxrYUHEld/,2020-09-17 19:33:22,2020-09-17 19:33:22
86,Imunisasi Tetap Penting Agar Imunitas Anak Terjaga,https://www.instagram.com/p/CEwYHzDHQp_/,2020-09-17 19:35:27,2020-09-17 19:35:27
87,Kunci Pencegahan COVID-19 : Tetap Jaga Diri dan Keluarga,https://www.instagram.com/p/CE0XRiJHcNv/,2020-09-17 19:37:36,2020-09-17 19:37:36
88,Panduan AKB Bagi Pekerja di Sektor Akomodasi,https://www.instagram.com/p/CE0XfbiHPgv/,2020-09-17 19:39:07,2020-09-17 19:39:07
89,Cara Pakai Masker yang Benar,https://www.instagram.com/p/CE1LRK7nUW8/,2020-09-17 19:43:41,2020-09-17 19:43:41
90,Kenali Kriteria Ideal Masker Kain untuk Cegah COVID-19,https://www.instagram.com/p/CE1aCdrnrnn/,2020-09-17 19:45:24,2020-09-17 19:45:24
91,Pakai Sarung Tangan Bukan Jaminan Aman Dari COVID-19,https://www.instagram.com/p/CE3wnarnWnT/,2020-09-17 19:46:53,2020-09-17 19:46:53
92,Protokol Penyelenggaraan Acara di Masa AKB,https://www.instagram.com/p/CE3w7cmnWTr/,2020-09-17 19:48:25,2020-09-17 19:48:25
93,Indonesia mencapai angka 200.000 Kasus COVID-19,https://www.instagram.com/p/CE8JUI3npzN/,2020-09-17 19:50:44,2020-09-17 19:50:44
94,Peraturan Gubernur Sulawesi Tengah No.32 Tahun 2020,https://www.instagram.com/p/CE9FLQ4naR3/,2020-09-17 19:52:24,2020-09-17 19:52:24
95,Bingung Memilih Bahan Buat Masker Kain? Ini Petunjuk Dari WHO,https://www.instagram.com/p/CE_fcJQntwH/,2020-09-17 19:56:56,2020-09-17 19:56:56
96,Perokok Lebih Berisiko Tertular COVID-19,https://www.instagram.com/p/CE_kF4enNHj/,2020-09-17 19:59:01,2020-09-17 19:59:01
97,Kaum Muda Harus Bisa Menjadi Pendorong Perilaku Aman COVID-19,https://www.instagram.com/p/CFCL88Vn09w/,2020-09-17 20:00:39,2020-09-17 20:00:39
98,Tidak Pakai Masker? Tegur Saja,https://www.instagram.com/p/CFESvwJHIjx/,2020-09-17 20:02:21,2020-09-17 20:02:21
99,#MaskerUntukSemua,https://www.instagram.com/p/CFE2yySnn7-/,2020-09-17 20:03:26,2020-09-17 20:03:26
100,Tips Pencegahan di Tempat Kerja,https://www.instagram.com/p/CFGoQ7-nEeL/,2020-09-17 20:04:24,2020-09-17 20:04:24
101,Bersama Tekan Tingkat Fatalitas COVID-19,https://www.instagram.com/p/CFHBnbjnCEP/,2020-09-17 20:05:55,2020-09-17 20:05:55
102,Tips Pencegahan COVID-19 di Kendaraan Umum,https://www.instagram.com/p/CFKFq4KnK_k/,2020-09-17 20:08:02,2020-09-17 20:08:02
103,Tips Menjaga Daya Tahan Tubuh,https://www.instagram.com/p/CFMOF2xnBHK/,2020-09-17 20:09:23,2020-09-17 20:09:23
104,Daftar Nikah via Online? Ini Caranya,https://www.instagram.com/p/CFMd9lsnZyO/,2020-09-17 20:10:26,2020-09-17 20:10:26
105,Tips Pencegahan Setelah Bepergian,https://www.instagram.com/p/CFOUL2inKNy/,2020-09-17 20:11:52,2020-09-17 20:11:52
106,Bagaimana Proses Penularan Covid-19?,https://www.instagram.com/p/CF_xQD5HgQG/,2020-12-02 01:39:34,2020-12-02 01:39:34
107,Cara Cuci Tangan yang Benar,https://www.instagram.com/p/CGCZM-oH8xW/,2020-12-02 01:45:47,2020-12-02 01:45:47
108,Obat dan Makanan Aman dengan Cek KLIK,https://www.instagram.com/p/CGE6UCXnfYN/,2020-12-02 01:48:08,2020-12-02 01:48:08
109,Tips Mendapatkan Obat Aman,https://www.instagram.com/p/CGKeVnWnfib/,2020-12-02 01:56:18,2020-12-02 01:56:18
