id,no,id_infographic,link,created_at,updated_at
80,1,80,https://i.ibb.co/PWSy1wz/image.png,2020-08-28 10:30:43,2020-08-28 10:30:43
81,1,81,https://i.ibb.co/HPkRgMf/image.png,2020-08-28 10:31:23,2020-08-28 10:31:23
82,1,82,https://i.ibb.co/hmt7MpZ/image.png,2020-08-28 10:37:39,2020-08-28 10:37:39
83,1,83,https://i.ibb.co/qg6wFkm/image.png,2020-08-28 10:37:39,2020-08-28 10:37:39
84,1,84,https://i.ibb.co/DLb82VJ/image.png,2020-09-17 19:32:26,2020-09-17 19:32:26
85,1,85,https://i.ibb.co/mtRTfB8/image.png,2020-09-17 19:34:33,2020-09-17 19:34:33
86,1,86,https://i.ibb.co/qygCrV7/image.png,2020-09-17 19:36:52,2020-09-17 19:36:52
87,1,87,https://i.ibb.co/VMcWDXW/image.png,2020-09-17 19:38:29,2020-09-17 19:38:29
88,1,88,https://i.ibb.co/wr7BrhS/image.png,2020-09-17 19:42:44,2020-09-17 19:42:44
89,1,89,https://i.ibb.co/CBQZ2Ws/image.png,2020-09-17 19:44:40,2020-09-17 19:44:40
90,1,90,https://i.ibb.co/9r5r6kj/image.png,2020-09-17 19:46:14,2020-09-17 19:46:14
91,1,91,https://i.ibb.co/YQN1p8Q/image.png,2020-09-17 19:47:30,2020-09-17 19:47:30
92,1,92,https://i.ibb.co/CQZGN9G/image.png,2020-09-17 19:49:48,2020-09-17 19:49:48
93,1,93,https://i.ibb.co/fSTTxPC/image.png,2020-09-17 19:51:28,2020-09-17 19:51:28
94,1,94,https://i.ibb.co/QpH3LJH/image.png,2020-09-17 19:56:01,2020-09-17 19:56:01
95,1,95,https://i.ibb.co/9rSV2rQ/image.png,2020-09-17 19:57:58,2020-09-17 19:57:58
96,1,96,https://i.ibb.co/n68XWwt/image.png,2020-09-17 19:59:49,2020-09-17 19:59:49
97,1,97,https://i.ibb.co/YyGbVmh/image.png,2020-09-17 20:01:43,2020-09-17 20:01:43
98,1,98,https://i.ibb.co/B6WyNT0/image.png,2020-09-17 20:02:51,2020-09-17 20:02:51
99,1,99,https://i.ibb.co/qkmvL1L/image.png,2020-09-17 20:03:58,2020-09-17 20:03:58
100,1,100,https://i.ibb.co/C08S12N/image.png,2020-09-17 20:05:26,2020-09-17 20:05:26
101,1,101,https://i.ibb.co/ZmwLbjN/image.png,2020-09-17 20:07:32,2020-09-17 20:07:32
102,1,102,https://i.ibb.co/Bf3sXpQ/image.png,2020-09-17 20:08:34,2020-09-17 20:08:34
103,1,103,https://i.ibb.co/tJ9t9cn/image.png,2020-09-17 20:10:00,2020-09-17 20:10:00
104,1,104,https://i.ibb.co/hfMDgjz/image.png,2020-09-17 20:11:10,2020-09-17 20:11:10
105,1,105,https://i.ibb.co/BNfqmGL/image.png,2020-09-17 20:12:30,2020-09-17 20:12:30
106,2,1,https://i.ibb.co/PMBPqbV/image.png,2020-06-15 03:19:39,2020-06-15 03:19:39
107,2,2,https://i.ibb.co/Mnm3xGf/image.png,2020-06-15 03:24:56,2020-06-15 03:24:56
108,2,3,https://i.ibb.co/S0FFkd9/image.png,2020-06-15 03:29:18,2020-06-15 03:29:18
109,2,4,https://i.ibb.co/9qDR3Zz/image.png,2020-06-15 05:05:57,2020-06-15 05:05:57
110,2,5,https://i.ibb.co/VSMR43D/image.png,2020-06-15 05:28:36,2020-06-15 05:28:36
111,2,7,https://i.ibb.co/ThTJX5z/image.png,2020-06-15 05:33:26,2020-06-15 05:33:26
112,2,8,https://i.ibb.co/WxZMS0g/image.png,2020-06-15 05:37:22,2020-06-15 05:37:22
113,2,9,https://i.ibb.co/pfCzqdR/image.png,2020-06-15 05:40:00,2020-06-15 05:40:00
114,2,10,https://i.ibb.co/kG4XMXY/image.png,2020-06-15 05:42:57,2020-06-15 05:42:57
115,2,11,https://i.ibb.co/2tnyhPC/image.png,2020-06-15 05:45:26,2020-06-15 05:45:26
116,2,12,https://i.ibb.co/6X0zqyr/image.png,2020-06-15 05:51:03,2020-06-15 05:51:03
117,2,13,https://i.ibb.co/Hdsdvbr/image.png,2020-06-15 05:55:04,2020-06-15 05:55:04
118,2,14,https://i.ibb.co/kMgYcDH/image.png,2020-06-15 05:56:53,2020-06-15 05:56:53
119,2,15,https://i.ibb.co/JQ7pxhw/image.png,2020-06-15 05:58:37,2020-06-15 05:58:37
120,2,16,https://i.ibb.co/jGyCMkK/image.png,2020-06-15 10:44:46,2020-06-15 10:44:46
121,2,17,https://i.ibb.co/kKdrTNC/image.png,2020-06-16 21:09:52,2020-06-16 21:09:52
122,2,18,https://i.ibb.co/dKWc9BT/image.png,2020-06-20 08:59:06,2020-06-20 08:59:06
123,2,19,https://i.ibb.co/xSQhLyZ/image.png,2020-06-21 14:53:40,2020-06-21 14:53:40
124,2,20,https://i.ibb.co/bvxVKJ8/image.png,2020-06-22 10:30:32,2020-06-22 10:30:32
125,2,21,https://i.ibb.co/wskM2R1/image.png,2020-06-22 15:39:32,2020-06-22 15:39:32
126,2,22,https://i.ibb.co/gdthRX6/image.png,2020-06-25 14:51:05,2020-06-25 14:51:05
127,2,23,https://i.ibb.co/PCV0fvs/image.png,2020-06-25 14:59:35,2020-06-25 14:59:35
128,2,24,https://i.ibb.co/X2SpSbc/image.png,2020-06-25 15:06:22,2020-06-25 15:06:22
129,2,25,https://i.ibb.co/XX79NRh/image.png,2020-06-27 10:23:20,2020-06-27 10:23:20
130,2,26,https://i.ibb.co/ynHQGkh/image.png,2020-07-01 07:27:17,2020-07-01 07:27:17
131,2,27,https://i.ibb.co/PzJ2zP0/image.png,2020-07-01 07:30:21,2020-07-01 07:30:21
132,2,28,https://i.ibb.co/MNZWw5M/image.png,2020-07-01 10:37:59,2020-07-01 10:37:59
133,2,29,https://i.ibb.co/NSGhQ4w/image.png,2020-07-04 00:49:14,2020-07-04 00:49:14
134,2,30,https://i.ibb.co/h82nbSc/image.png,2020-07-04 15:34:50,2020-07-04 15:34:50
135,2,31,https://i.ibb.co/X5Q00NZ/image.png,2020-07-04 15:30:28,2020-07-04 15:30:28
136,2,32,https://i.ibb.co/XSB12zm/image.png,2020-07-10 16:43:46,2020-07-10 16:43:46
137,2,33,https://i.ibb.co/fkP7FJH/image.png,2020-07-10 16:44:36,2020-07-10 16:44:36
138,2,34,https://i.ibb.co/frqPHsW/image.png,2020-07-10 16:45:15,2020-07-10 16:45:15
139,2,35,https://i.ibb.co/MDRfgbp/image.png,2020-07-15 06:15:04,2020-07-15 06:15:04
140,2,38,https://i.ibb.co/W6wXSyS/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
141,2,39,https://i.ibb.co/YtKCq2J/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
142,2,41,https://i.ibb.co/BsCStkv/image.png,2020-07-21 12:45:42,2020-07-21 12:45:42
143,2,42,https://i.ibb.co/sgkr9WD/image.png,2020-07-21 13:15:50,2020-07-21 13:15:50
144,2,43,https://i.ibb.co/6rwXdR3/image.png,2020-07-21 13:15:50,2020-07-21 13:15:50
145,2,44,https://i.ibb.co/dj9r24p/image.png,2020-07-21 13:25:23,2020-07-21 13:25:23
146,2,45,https://i.ibb.co/YdcKHzH/image.png,2020-07-22 08:59:14,2020-07-22 08:59:14
147,2,47,https://i.ibb.co/RQB7jYT/image.png,2020-07-24 11:11:26,2020-07-24 11:11:26
148,2,49,https://i.ibb.co/FmVQmXw/image.png,2020-07-27 04:09:46,2020-07-27 04:09:46
149,2,50,https://i.ibb.co/tzZk5Dx/image.png,2020-07-27 04:29:10,2020-07-27 04:29:10
150,2,51,https://i.ibb.co/Vq9dhQF/image.png,2020-07-30 03:58:10,2020-07-30 03:58:10
151,2,52,https://i.ibb.co/0mL5cK1/image.png,2020-07-30 22:16:14,2020-07-30 22:16:14
152,2,55,https://i.ibb.co/jgqb1wG/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
153,2,57,https://i.ibb.co/8b5g0Gv/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
154,2,58,https://i.ibb.co/BLB3rLK/image.png,2020-08-09 11:46:02,2020-08-09 11:46:02
155,2,60,https://i.ibb.co/s64JMdQ/image.png,2020-08-11 08:59:12,2020-08-11 08:59:12
156,2,61,https://i.ibb.co/QMkKxVr/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
157,2,62,https://i.ibb.co/wp19Gvy/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
158,2,64,https://i.ibb.co/ZhQxxTH/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
159,2,65,https://i.ibb.co/GT7ZKRW/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
160,2,66,https://i.ibb.co/cT4dvkS/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
161,2,68,https://i.ibb.co/6rTMMrZ/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
162,2,69,https://i.ibb.co/yQ9kYBK/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
163,2,70,https://i.ibb.co/7SrrPtF/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
164,2,71,https://i.ibb.co/fQ20cxr/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
165,2,72,https://i.ibb.co/svF3KkG/image.png,2020-08-24 06:34:16,2020-08-24 06:34:16
166,2,73,https://i.ibb.co/FHcTYZp/image.png,2020-08-24 06:35:11,2020-08-24 06:35:11
167,2,74,https://i.ibb.co/pXqgbLT/image.png,2020-08-24 06:37:31,2020-08-24 06:37:31
168,2,76,https://i.ibb.co/HtWBKPy/image.png,2020-08-24 06:46:07,2020-08-24 06:46:07
169,2,77,https://i.ibb.co/bLW8zjW/image.png,2020-08-24 07:03:05,2020-08-24 07:03:05
170,2,78,https://i.ibb.co/D5QV0C3/image.png,2020-08-24 07:03:05,2020-08-24 07:03:05
171,2,79,https://i.ibb.co/D5tqMDJ/image.png,2020-08-28 10:25:53,2020-08-28 10:25:53
172,2,80,https://i.ibb.co/hctpJnK/image.png,2020-08-28 10:30:43,2020-08-28 10:30:43
173,2,82,https://i.ibb.co/4Z14vTk/image.png,2020-08-28 10:37:39,2020-08-28 10:37:39
174,2,84,https://i.ibb.co/fM5tj42/image.png,2020-09-17 19:32:26,2020-09-17 19:32:26
175,2,85,https://i.ibb.co/9H3hKz8/image.png,2020-09-17 19:34:33,2020-09-17 19:34:33
176,2,86,https://i.ibb.co/qrSZ7y5/image.png,2020-09-17 19:36:52,2020-09-17 19:36:52
177,2,87,https://i.ibb.co/5c40Mck/image.png,2020-09-17 19:38:29,2020-09-17 19:38:29
178,2,88,https://i.ibb.co/rszmyDY/image.png,2020-09-17 19:42:44,2020-09-17 19:42:44
179,2,89,https://i.ibb.co/5TgzYNj/image.png,2020-09-17 19:44:40,2020-09-17 19:44:40
180,2,90,https://i.ibb.co/86LV80g/image.png,2020-09-17 19:46:14,2020-09-17 19:46:14
181,2,92,https://i.ibb.co/FbfdGHN/image.png,2020-09-17 19:49:48,2020-09-17 19:49:48
182,2,94,https://i.ibb.co/d4bmf5N/image.png,2020-09-17 19:56:01,2020-09-17 19:56:01
183,2,95,https://i.ibb.co/WHRmnLf/image.png,2020-09-17 19:57:58,2020-09-17 19:57:58
184,2,96,https://i.ibb.co/H7dF3zC/image.png,2020-09-17 19:59:49,2020-09-17 19:59:49
185,2,97,https://i.ibb.co/k5GKLRP/image.png,2020-09-17 20:01:43,2020-09-17 20:01:43
186,2,101,https://i.ibb.co/Y3DYZjm/image.png,2020-09-17 20:07:32,2020-09-17 20:07:32
187,2,104,https://i.ibb.co/QrTLsFk/image.png,2020-09-17 20:11:10,2020-09-17 20:11:10
188,3,2,https://i.ibb.co/9sTSL8P/image.png,2020-06-15 03:26:56,2020-06-15 03:26:56
189,3,3,https://i.ibb.co/N99x30y/image.png,2020-06-15 03:29:18,2020-06-15 03:29:18
190,3,4,https://i.ibb.co/cyxzLNZ/image.png,2020-06-15 05:05:57,2020-06-15 05:05:57
191,3,5,https://i.ibb.co/T2D2QsT/image.png,2020-06-15 05:28:36,2020-06-15 05:28:36
192,3,7,https://i.ibb.co/nQz6LV0/image.png,2020-06-15 05:33:26,2020-06-15 05:33:26
193,3,8,https://i.ibb.co/HKdp1Ng/image.png,2020-06-15 05:37:22,2020-06-15 05:37:22
194,3,9,https://i.ibb.co/3dB46P3/image.png,2020-06-15 05:40:00,2020-06-15 05:40:00
195,3,10,https://i.ibb.co/vJvP45s/image.png,2020-06-15 05:42:57,2020-06-15 05:42:57
196,3,12,https://i.ibb.co/6bXzrz3/image.png,2020-06-15 05:51:03,2020-06-15 05:51:03
197,3,13,https://i.ibb.co/Cw1xpyx/image.png,2020-06-15 05:55:04,2020-06-15 05:55:04
198,3,15,https://i.ibb.co/LdP0KbG/image.png,2020-06-16 21:07:57,2020-06-16 21:07:57
199,3,17,https://i.ibb.co/d6xFHnn/image.png,2020-06-16 21:09:52,2020-06-16 21:09:52
200,3,19,https://i.ibb.co/zFGZ0S7/image.png,2020-06-21 14:53:40,2020-06-21 14:53:40
201,3,20,https://i.ibb.co/mXKZTfV/image.png,2020-06-22 10:30:32,2020-06-22 10:30:32
202,3,21,https://i.ibb.co/D8dKr55/image.png,2020-06-22 15:39:32,2020-06-22 15:39:32
203,3,22,https://i.ibb.co/9wWWKYr/image.png,2020-06-25 14:51:05,2020-06-25 14:51:05
204,3,23,https://i.ibb.co/tPch3wZ/image.png,2020-06-25 14:59:35,2020-06-25 14:59:35
205,3,24,https://i.ibb.co/ncpqpPW/image.png,2020-06-25 15:06:22,2020-06-25 15:06:22
206,3,26,https://i.ibb.co/K0QKygv/image.png,2020-07-01 07:27:17,2020-07-01 07:27:17
207,3,27,https://i.ibb.co/Jd8JQj1/image.png,2020-07-01 07:30:21,2020-07-01 07:30:21
208,3,29,https://i.ibb.co/QDhQKBS/image.png,2020-07-04 00:49:14,2020-07-04 00:49:14
209,3,30,https://i.ibb.co/LtwTyKv/image.png,2020-07-04 15:34:50,2020-07-04 15:34:50
210,3,31,https://i.ibb.co/BrHRZZZ/image.png,2020-07-04 15:30:28,2020-07-04 15:30:28
211,3,32,https://i.ibb.co/KmytzHv/image.png,2020-07-10 16:43:46,2020-07-10 16:43:46
212,3,33,https://i.ibb.co/zSWLgty/image.png,2020-07-10 16:44:36,2020-07-10 16:44:36
213,3,35,https://i.ibb.co/dptd9P8/image.png,2020-07-15 06:15:04,2020-07-15 06:15:04
214,3,38,https://i.ibb.co/q7rBS3t/image.png,2020-07-18 23:02:34,2020-07-18 23:02:34
215,3,44,https://i.ibb.co/vPs35PQ/image.png,2020-07-21 13:25:23,2020-07-21 13:25:23
216,3,49,https://i.ibb.co/qRCwx8M/image.png,2020-07-27 04:09:46,2020-07-27 04:09:46
217,3,50,https://i.ibb.co/f4jHWWC/image.png,2020-07-27 04:29:10,2020-07-27 04:29:10
218,3,51,https://i.ibb.co/5Bt5vbQ/image.png,2020-07-30 03:58:10,2020-07-30 03:58:10
219,3,52,https://i.ibb.co/PgJhwh3/image.png,2020-07-30 22:16:14,2020-07-30 22:16:14
220,3,55,https://i.ibb.co/BfP7Rrq/image.png,2020-08-08 04:32:26,2020-08-08 04:32:26
221,3,58,https://i.ibb.co/g7d2fqJ/image.png,2020-08-09 11:46:02,2020-08-09 11:46:02
222,3,60,https://i.ibb.co/0ymMRZm/image.png,2020-08-11 08:59:12,2020-08-11 08:59:12
223,3,61,https://i.ibb.co/VvnMJdG/image.png,2020-08-12 10:31:11,2020-08-12 10:31:11
224,3,65,https://i.ibb.co/VjRDT1c/image.png,2020-08-16 17:52:00,2020-08-16 17:52:00
225,3,66,https://i.ibb.co/syP5NXs/image.png,2020-08-16 17:58:45,2020-08-16 17:58:45
226,3,72,https://i.ibb.co/Ht0yG84/image.png,2020-08-24 06:34:16,2020-08-24 06:34:16
227,3,76,https://i.ibb.co/r4V7DM7/image.png,2020-08-24 06:46:07,2020-08-24 06:46:07
228,3,78,https://i.ibb.co/Pw3SwRF/image.png,2020-08-24 07:03:05,2020-08-24 07:03:05
229,3,79,https://i.ibb.co/5MqMmBz/image.png,2020-08-28 10:25:53,2020-08-28 10:25:53
230,3,84,https://i.ibb.co/hCHfPkd/image.png,2020-09-17 19:32:26,2020-09-17 19:32:26
231,3,86,https://i.ibb.co/gwW4mjT/image.png,2020-09-17 19:36:52,2020-09-17 19:36:52
232,3,88,https://i.ibb.co/7zLrB61/image.png,2020-09-17 19:42:44,2020-09-17 19:42:44
233,3,92,https://i.ibb.co/Jn8G0Gg/image.png,2020-09-17 19:49:48,2020-09-17 19:49:48
234,3,94,https://i.ibb.co/mGkHjnH/image.png,2020-09-17 19:56:01,2020-09-17 19:56:01
235,4,4,https://i.ibb.co/rkpmvdS/image.png,2020-06-15 05:05:57,2020-06-15 05:05:57
236,4,5,https://i.ibb.co/Pt8cTDX/image.png,2020-06-15 05:28:36,2020-06-15 05:28:36
237,4,8,https://i.ibb.co/sVpyr1M/image.png,2020-06-15 05:37:22,2020-06-15 05:37:22
238,4,10,https://i.ibb.co/mR2F2d6/image.png,2020-06-15 05:42:57,2020-06-15 05:42:57
239,4,12,https://i.ibb.co/ySJ3Jrx/image.png,2020-06-15 05:51:03,2020-06-15 05:51:03
240,4,13,https://i.ibb.co/5T1hq1v/image.png,2020-06-15 05:55:04,2020-06-15 05:55:04
241,4,15,https://i.ibb.co/GpZq0Ng/image.png,2020-06-16 21:07:57,2020-06-16 21:07:57
242,4,19,https://i.ibb.co/fDy6g0j/image.png,2020-06-21 14:53:40,2020-06-21 14:53:40
243,4,20,https://i.ibb.co/nmGnBVZ/image.png,2020-06-22 10:30:32,2020-06-22 10:30:32
244,4,22,https://i.ibb.co/6X0230s/image.png,2020-06-25 14:51:05,2020-06-25 14:51:05
245,4,23,https://i.ibb.co/XZCpzfH/image.png,2020-06-25 14:59:35,2020-06-25 14:59:35
246,4,24,https://i.ibb.co/8MhqvVm/image.png,2020-06-25 15:06:22,2020-06-25 15:06:22
247,4,26,https://i.ibb.co/jzbJWRp/image.png,2020-07-01 07:27:17,2020-07-01 07:27:17
248,4,27,https://i.ibb.co/VQdv83f/image.png,2020-07-01 07:30:21,2020-07-01 07:30:21
249,4,30,https://i.ibb.co/prp9XLr/image.png,2020-07-04 15:34:50,2020-07-04 15:34:50
250,4,32,https://i.ibb.co/52Lfngy/image.png,2020-07-10 16:43:46,2020-07-10 16:43:46
251,4,49,https://instagram.fupg2-1.fna.fbcdn.net/v/t50.2886-16/116058055_4113600398681517_7746947047234114260_n.mp4?_nc_ht=instagram.fupg2-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=ZcHQ5-MikkkAX8Y7GQ2&oe=5F20D4E2&oh=b8213743eb05b69afc5d2fdae7fe663b,2020-07-27 04:09:46,2020-07-27 04:09:46
252,4,50,https://i.ibb.co/xDxXD36/image.png,2020-07-27 04:29:10,2020-07-27 04:29:10
